pool,degree_wallets,p_swaps,p_volume_usd,hhi_wallets_vol,hhi_wallets_cnt,entropy_wallets,top_wallet_share,arb_leg_share,top10_wallet_share,avg_wallet_persistence,repeat_wallet_share,mev_wallet_share,mev_volume_share,mev_volume_share_strict,mev_swap_share,entropy_norm_wallets,eff_wallets_inv_HHI,mev_exposure_index
0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,44521,318883,7615178837.465712,0.04139535008484047,0.019081427541342788,5.3423661509055025,0.18915379660174964,0.03182985595588459,0.324746368891153,0.9644104137870102,0.13243188607623368,0.16291188427932884,0.3994467946010968,0.2964107674008746,0.49598755656463345,0.4991132068214597,24.157302642699797,0.7927220097177711
0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,87325,671454,6872934745.362996,0.01680029515921728,0.019026304254907384,6.012920509736468,0.09838904543004443,0.030722879024577505,0.26882296457520466,0.9550068704149561,0.14716289722301745,0.12234755224735185,0.5013714720361113,0.36928818954865605,0.49701990009740055,0.528497257799802,59.52276376831165,0.8057048830076846
0x48da0965ab2d2cbf1c17c09cfb5cbe67ad5b1406,52080,200177,5737434883.996779,0.0223469331468597,0.0131670433455209,6.203638419413204,0.09648618718420524,0.05610035147998027,0.3377016169617341,0.9632880628187661,0.13488863287250383,0.12713133640552995,0.5842431594896835,0.44026088254725765,0.5162880850447354,0.5712092166772796,44.74886971864078,0.8279489300113717
0x435664008f38b0650fbc1c9fc971d0a3bc2f1e47,32678,97788,4320096268.90216,0.014219901725520158,0.00536111747221386,6.1381412661381685,0.07778913089180628,0.02517691330012169,0.2829571391296137,0.941791436205577,0.19077054899320645,0.06105024787318685,0.4654171904669987,0.3407985943889302,0.3423630711334724,0.5905206073658928,70.32397405428766,0.7847014025293774
0x9db9e0e53058c89e5b94e29621a205198648425b,11724,125145,4099433655.1459217,0.025340051811070376,0.03346635519960935,5.618564581372416,0.1374433733230868,0.018138959083829006,0.2627219144633545,0.9378110882795964,0.2064141931081542,0.3701808256567724,0.43530404061985956,0.30916223130338194,0.43880298853330135,0.5996721879819632,39.46321844389944,0.7865105620455562
0x99950bae3d0b79b8bee86a8a208ae1b087b9dcb0,10668,91949,4071970104.4558067,0.056484632532770605,0.029276266225743638,3.3411895215882157,0.12841719579456387,0.017118185377645742,0.6502158567567473,0.9731635944425423,0.11464191976002999,0.05877390326209224,0.9101422526535595,0.5959236549460352,0.6927862184471827,0.36023591611460104,17.703930346361577,0.8466177332092766
0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,21804,222039,3905515514.242293,0.019634392761129035,0.012922922530997675,5.520814939099497,0.08803193514157313,0.021649349776116093,0.3225357758710863,0.9419241348126709,0.19822050999816548,0.12653641533663548,0.33595566316156183,0.228907760611,0.2359045032629403,0.5526424968828758,50.93103780524033,0.7585461249526172
0x202a6012894ae5c288ea824cbc8a9bfb26a49b93,24877,72169,3730886630.3664694,0.012666227956136497,0.005289812315808809,5.567160377688674,0.037136410953014475,0.04215106246331835,0.2882747113298969,0.9499645761409655,0.1400490412831129,0.06777344535112755,0.430643383281175,0.286678689895272,0.4400088680735496,0.5500223232529363,78.95010286116973,0.7950997622247492
0x5777d92f208679db4b9778590fa3cab3ac9e2168,35740,135218,3508633924.813517,0.043033851663472865,0.031102305415488706,6.10314702034211,0.198505104497192,0.059378189477361724,0.33917570029696875,0.962583334387291,0.14216564073866816,0.13533855623950755,0.4550081025468722,0.2336609980025914,0.41265216169444896,0.5821377344295027,23.23752026242169,0.7989765326165615
0xe6d7ebb9f1a9519dc06d557e03c522d53520e76a,40333,140130,3307581511.301731,0.010959865815253059,0.003992017403134258,6.451838229922229,0.06350855564481854,0.027488760586076747,0.2551199470713951,0.9309683441879334,0.20824139042471426,0.07802543822676221,0.4784256669282105,0.3247781198486834,0.4665453507457361,0.6083813006503246,91.24199300034135,0.7967107756986801
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,20645,132316,3084826723.5277753,0.02626267103218714,0.014561010003286875,5.625097513022308,0.1431874395996432,0.0387632638941729,0.2799822351840703,0.9594012013977796,0.1550012109469605,0.22601114071203682,0.46913097060973685,0.3293668305337728,0.4927899876054294,0.5661769679423071,38.07685816779317,0.8011647541266068
0x7eb59373d63627be64b42406b108b602174b4ccc,21467,105720,2976890103.565226,0.009911336323197845,0.003942850702939783,6.491290579186718,0.06287554808048253,0.04728528239161363,0.24361920499652617,0.9309813800433732,0.2654306610145805,0.09586807658266176,0.43942939193992947,0.2584872127904899,0.528149829738933,0.6508034351529653,100.89456833983763,0.8081860160584444
0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,16570,222552,2643285823.7475924,0.022980671593227888,0.013846040029168736,5.371845741527882,0.10345091588495027,0.03684981486081164,0.3678976685195711,0.9342669645426643,0.22939046469523236,0.17531683765841882,0.38897184040968924,0.2853095001704688,0.3013767568927711,0.5529235934266203,43.51482923130442,0.7764137289362143
0x6546055f46e866a4b9a4a13e81273e3152bae5da,22728,286538,2472537454.883225,0.03935039449161504,0.015790007651747106,5.408571071983343,0.18331740642432892,0.04420007122291066,0.3352940857395962,0.9483338888283506,0.2529039070749736,0.15496304118268214,0.520801805647575,0.37971043599295995,0.48890199554683844,0.5391666620854881,25.412705842455647,0.812639994486371
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,18553,203593,2184527994.580761,0.026840328159647663,0.014545471606841573,4.95335058447396,0.10991432803715948,0.05520327364166424,0.4166239922846989,0.9498524112245507,0.17193984800301837,0.14639141917749152,0.30098768402795234,0.262569256191459,0.34081230690642605,0.5039840917270468,37.25736861531454,0.7784038044040112
0x5ae13baaef0620fdae1d355495dc51a17adb4082,30144,323744,2021070722.5690627,0.0272127123991326,0.011625783265002868,6.000627944565317,0.14433222458063635,0.038218469228102236,0.30585801813570307,0.9376481107466769,0.25169187898089174,0.12387208067940551,0.4530662100914958,0.3195272586669468,0.4497287980626668,0.5818090488568894,36.74753127629699,0.7969175367862434
