tx_hash,block_number,log_index,block_time,wallet,sender,recipient,project,pool_address,token_in,token_out,amount_in_float,amount_out_float,amount_in_raw,amount_out_raw,amount_usd,tick,sqrt_price_x96,liquidity,weth_price_at_block,amount_overflow,malformed_legs
0x10274e853f310fa7b0955d0260ffa7ddb44c7f92fdac5978c6b45ac45a7bdf13,21525892,75,2025-01-01 00:00:23.000000,0xda185de422ec436a3a1ae32257bee8a9870763da,0xe592427a0aece92de3edee1f18e0157c05861564,0x69460570c93f9de5e2edbc3052bf10125f0ca22d,Uniswap V3,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,5234.926458,5223.298447,5234926458,5223298447,5223.298447,17,7.929811465196974e+28,126034856674102,3337.99,false,false
0xd8d2b7bfb9004244c3ee6758c305615231ca44178fe5287f93812a60ca7c073d,21525892,91,2025-01-01 00:00:23.000000,0xbbad96336943a36e3e292d973b3382dd0ba4d1ef,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,Uniswap V3,0xfe4ec8f377be9e1e95a49d4e0d20f52d07b1ff0d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,18.5318936890282,161354.9021382725,18531893689028199962,161354902138272505553470,61859.27581503923,-90673,8.512218459014027e+26,214641392587639390120174,3337.99,false,false
0x0afbe5f834f796130d20649b7572ae9a15347956f77860036f1f121cfffc4902,21525892,94,2025-01-01 00:00:23.000000,0x36a454aef52938c8637cd4689b2980c1cfd43389,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,Uniswap V3,0x531b6a4b3f962208ea8ed5268c642c84bb29be0b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,11.107569740835286,96687.3242708268,11107569740835287236,96687324270826793475924,37076.95671921077,-90730,8.488075412456326e+26,112668466178642958034869,3337.99,false,false
0x1b6fa6e7acf312ab0d6dd16eaf6aee1a4be0da58b59960051eaa26c54763d3a4,21525892,108,2025-01-01 00:00:23.000000,0x678111a6ca5749f1744b5e080a855cec8d631e20,0x507888e987257a8dde6f8afa46375cefe2cbf504,0xa082264750d77d848cca3f2de91016aab543d442,Uniswap V3,0x49727bbe3ba46aeb1058749ed2741a42fd1ccda8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xba0dda8762c24da9487f5fa026a9b64b695a07ea,0.08543594451020246,11341.393061485982,85435944510202471,11341393061485981900887,285.1843284156107,-118065,2.164078664320836e+26,75779682640139039231427,3337.99,false,false
0x9bac99626333458d6ab8d83725c35c02ff3b77deede2681407977a5a8995c92d,21525892,111,2025-01-01 00:00:23.000000,0x431b5a84acc1297eda88259f300262f1bc3a74f3,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,Uniswap V3,0x60257c66cee64c535ba905dd0e7a056cbb3d8658,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,1451.560952,3783.9888423935536,1451560952,3783988842393553623931,1451.560952,-285912,4.905774354547095e+22,244895627220386035,3337.99,false,false
0xd45d60aa6691d42f1c7d0bddb60bc7bde6b8510ad7d6b8769bee911b038ad2ed,21525892,114,2025-01-01 00:00:23.000000,0x0b275aaeb7e834520f34a24027091edba49b7a58,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,Uniswap V3,0x60a531c09dc5b6bb82ee5c6b07ad5eed6954c929,0x6b175474e89094c44da98b954eedeac495271d0f,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,1164.0166620918153,3039.1366503668705,1164016662091815326280,3039136650366870097626,1164.0166620918153,9586,1.279498519863609e+29,168081316052523100340274,3337.99,false,false
0x2dd845043fb121f6cf63ec50ab1011b426ca0271c5e9eaa5ce21a52e57bb1d72,21525892,119,2025-01-01 00:00:23.000000,0xf29f568f971c043df7079a3121e9de616b8998a3,0x03f911aedc25c770e701b8f563e8102cfacd62c0,0x03f911aedc25c770e701b8f563e8102cfacd62c0,Uniswap V3,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000.0,0.8987584815254839,3000000000,898758481525483875,3000.0,-195190,4.57734523120738e+24,684930080282970954,3337.99,false,false
0x2dd845043fb121f6cf63ec50ab1011b426ca0271c5e9eaa5ce21a52e57bb1d72,21525892,122,2025-01-01 00:00:23.000000,0xf29f568f971c043df7079a3121e9de616b8998a3,0x03f911aedc25c770e701b8f563e8102cfacd62c0,0xf29f568f971c043df7079a3121e9de616b8998a3,Uniswap V3,0xe2680fd7cdbb04e9087a647ad4d023ef6c8fb4e2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x9aab071b4129b083b01cb5a0cb513ce7eca26fa5,0.8987584815254839,8368.619389512567,898758481525483875,8368619389512566660672,3000.0468237472496,-91409,8.204605852068498e+26,55969818996415948725829,3337.99,false,false
0x2dd845043fb121f6cf63ec50ab1011b426ca0271c5e9eaa5ce21a52e57bb1d72,21525892,126,2025-01-01 00:00:23.000000,0xf29f568f971c043df7079a3121e9de616b8998a3,0x03f911aedc25c770e701b8f563e8102cfacd62c0,0xf29f568f971c043df7079a3121e9de616b8998a3,Uniswap V3,0x54578b6f942aeb23b67a8cef24220651306b8e26,0xdac17f958d2ee523a2206206994597c13d831ec7,0x9aab071b4129b083b01cb5a0cb513ce7eca26fa5,2000.0,5578.0618043674285,2000000000,5578061804367428788783,2000.0,-286598,4.7401885159083815e+22,2453966940552772031,3337.99,false,false
0x9e8b861c458b0badf5e24f35c4327e9b838bdd1fea9e789c1ac81778c9c558ce,21525892,140,2025-01-01 00:00:23.000000,0x4603180bbb8221157880afaa84638e0fc467738d,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,Uniswap V3,0x20dac1a2cf8b1bf476e144f4da439b4d8a51ea5b,0xdac17f958d2ee523a2206206994597c13d831ec7,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,516.080667,1342.609111945074,516080667,1342609111945073970452,516.080667,-285891,4.910826888171214e+22,86738417853742501,3337.99,false,false
