pool_address,token0,token1,fee_tier,tick_spacing,creation_block,creation_log_index,swap_count,traded_in_window,decimals0,decimals1,symbol0,symbol1,fee_pct,decimals_source,price_safe
0x8e5d63a9a375546278bfdbca769b501c963ac589,0x69c9affd4b6814200e90b865d66c8329f7ad77ea,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000,200,23128871,258,3,true,18,18,Scamcoin,WETH,0.01,onchain_r1,true
0x5bc64fc992c58dca9cc4821b4695ad35b75bcf7a,0x18084fba666a33d37592fa2633fd49a74dd93a88,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,10000,200,20994053,11,0,,18,18,tBTC,LQTY,0.01,onchain_r1,true
0xbd2be57e092bcffb5854cbd5554fdb56d48640b7,0x691772514f043ac9a12032283b3361781fefe472,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000,200,24053465,452,7,true,18,18,Hackata,WETH,0.01,onchain_r1,true
0x70446f99e9f5453388547ff0a2ba5bd78dfa78a6,0x9de2ec7876ea1ffb9a20bcc0d64fe74a18a7b981,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,500,10,24679424,183,5,true,18,18,FARTCOIN,WETH,0.0005,onchain_r1,true
0x5b249bb4e8f204a5e7e1c6234a11d19768cafdc8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc23588d1d5fe6422b2556cf07b26ca55866914df,3000,60,24967795,671,5,true,18,18,WETH,KALSHI,0.003,onchain_r1,true
0xd372dd46986c9d462ee42b047140aec603a63308,0x824708881411fd9ece2aaa17a230cf1148407f7e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000,200,18223681,0,0,,18,18,MECO,WETH,0.01,onchain_r1,true
0x9c57fd4b74bd49c947c56a863c8efc0df5976483,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf69a215ac49032c4bec9ea7b72ac995de861fe00,100,1,25328811,533,2,true,18,18,WETH,AVNT,0.00009999999999999999,onchain_r1,true
0xf2d8c14741f4f0f1ec9cd6c566dbfb25666b1a46,0x3e5a19c91266ad8ce2477b91585d1856b84062df,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,500,10,20581267,118,161,true,18,18,A8,WETH,0.0005,onchain_r1,true
0xa49e0bfbba7dcf10724d5b3d9c46e63d4a787098,0x00a55375002f3cda400383f479e7cd57bad029a9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000,60,12444815,78,3,true,18,18,CNJ,WETH,0.003,onchain_r1,true
0xa7e7191ef14c41e77fba9c881185875332c283aa,0x0f3ef6f269bc4b0c154c379d2e7533969b0d8f8f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000,200,22818400,4,4,true,18,18,HOODX,WETH,0.01,onchain_r1,true
