pool_address,block_number,log_index,sqrt_price_x96,tick,amount0_f64,amount1_f64,transaction_hash,tx_from,sender,recipient,liquidity_f64,pre_sqrt_price_x96,pre_tick,pre_liquidity,price_pre,price_post,price_exec,price_impact
0x0002e63328169d7feea121f1e32e4f620abf0352,22022176,453,2.407167682618828e+25,-161990,-3.798748507154678e+17,34932163968.0,0xba67d401890d92db07afd3cda62ffa4d1fa7162842c6e4fb8185ed8c5d08d23e,0xfc9928f6590d853752824b0b403a6ae36785e535,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0xc02d0fa00c0bec48186026c71da2e54ebf680139,1.6799971374041324e+16,2.3907432002857546e+25,-162127,1.6799971374041324e+16,9.10556064033663e-8,9.231101384861575e-8,9.195703243372839e-8,0.009899731229825237
0x0002e63328169d7feea121f1e32e4f620abf0352,22039573,308,2.3734316359643912e+25,-162272,7.883227950002084e+17,-71535751945.0,0x38983799f9d8a2289df8b37a754074987bccf1105c15dfd56defa6066fdd2cdc,0x678111a6ca5749f1744b5e080a855cec8d631e20,0x507888e987257a8dde6f8afa46375cefe2cbf504,0x9cd028b1287803250b1e226f0180eb725428d069,1.6799971374041324e+16,2.407167682618828e+25,-161990,1.6799971374041324e+16,9.231101384861575e-8,8.974169876584918e-8,9.074423877972613e-8,0.016972785841774307
0x0002e63328169d7feea121f1e32e4f620abf0352,22044114,992,2.3941775359505975e+25,-162098,-4.859452337960547e+17,44123106304.0,0x8d51cafe48ae6ea85c962def289f3abd043297bb31fc45f420841211f2979b1e,0xfba0014d3a9dbe8a0cda6affd3da7b541a1ec32f,0xea8cf32e4ac03acab2babb9028bac5c853e0ce80,0xea8cf32e4ac03acab2babb9028bac5c853e0ce80,1.6799971374041324e+16,2.3734316359643912e+25,-162272,1.6799971374041324e+16,8.974169876584918e-8,9.131739957847549e-8,9.07985164487032e-8,0.011776216601509182
0x0002e63328169d7feea121f1e32e4f620abf0352,22067615,378,2.4083283924596725e+25,-161980,-3.266621343583437e+17,30096536977.0,0x62c9802fb81594a67296c770dbc1743d7f98a92904eea0f2a571420d3d702c19,0xfc9928f6590d853752824b0b403a6ae36785e535,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0x23bff8ca20aac06efdf23cee3b8ae296a30dfd27,1.6799971374041324e+16,2.3941775359505975e+25,-162098,1.6799971374041324e+16,9.131739957847549e-8,9.240005802725925e-8,9.213353435076908e-8,0.008937341361678008
0x0002e63328169d7feea121f1e32e4f620abf0352,22077264,37,2.419585284711091e+25,-161887,-2.5712836855946445e+17,23941552490.0,0xf0cc479da5a355129f322e5da48ed5e727d760b1d9508ad6e88e2301bd6c9fa1,0x30a1b724c9dfe2e12a19ed84878312d199d1519e,0xe6b1de575e7e610889ea21024834e120f92033a3,0xe6b1de575e7e610889ea21024834e120f92033a3,1.6799971374041324e+16,2.4083283924596725e+25,-161980,1.6799971374041324e+16,9.240005802725925e-8,9.326586053220642e-8,9.311128376899879e-8,0.007697243453350655
0x0002e63328169d7feea121f1e32e4f620abf0352,22082113,943,2.4488020881879297e+25,-161647,-6.272444948959631e+17,59375921008.0,0xcea7e247ea0dd9ee479670ad52c6ba2e5b768d3d23f62d94784f879466287726,0x000000ffa51e8fd8dc15c5b77990234810a640e8,0x5079fc00f00f30000e0c8c083801cfde000008b6,0xc02d0fa00c0bec48186026c71da2e54ebf680139,1.5770036641733558e+16,2.419585284711091e+25,-161887,1.6799971374041324e+16,9.326586053220642e-8,9.553185402919333e-8,9.466152591398716e-8,0.014964375751390646
0x0002e63328169d7feea121f1e32e4f620abf0352,22091419,52,2.471103486858171e+25,-161465,-4.6046833147694285e+17,44523578409.0,0x17ed588c08e93f29b61b2e5da02442c9c07bee5a1b02c39eb13dbbb27e69a2d9,0xfc9928f6590d853752824b0b403a6ae36785e535,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0xc02d0fa00c0bec48186026c71da2e54ebf680139,1.5770036641733558e+16,2.4488020881879297e+25,-161647,1.5770036641733558e+16,9.553185402919333e-8,9.727980683089005e-8,9.669194462557614e-8,0.012143495048555275
0x0002e63328169d7feea121f1e32e4f620abf0352,22101297,83,2.495919526822818e+25,-161265,-5.0271663198253875e+17,49543928500.0,0x389ca7bf6c556b5959b66a1e7e64d2de9470ed8a116475cf108bc7981476276c,0xe75ed6f453c602bd696ce27af11565edc9b46b0d,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0xc02d0fa00c0bec48186026c71da2e54ebf680139,1.5770036641733558e+16,2.471103486858171e+25,-161465,1.5770036641733558e+16,9.727980683089005e-8,9.924348125913691e-8,9.85523958191239e-8,0.013081738437722201
0x0002e63328169d7feea121f1e32e4f620abf0352,22114680,185,2.5167234572284434e+25,-161099,-4.138010636745441e+17,41533961180.0,0x191d8207cfad6e8903bd82baf48548dda6b344e6faf338c74fc9da73a71efcc8,0xe75ed6f453c602bd696ce27af11565edc9b46b0d,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0xc02d0fa00c0bec48186026c71da2e54ebf680139,1.5770036641733558e+16,2.495919526822818e+25,-161265,1.5770036641733558e+16,9.924348125913691e-8,1.0090480013183519e-7,1.003718086444229e-7,0.011369284621725262
0x0002e63328169d7feea121f1e32e4f620abf0352,22143389,257,2.4920816579064655e+25,-161296,4.923702210456548e+17,-49048477952.0,0xcd603986dd56053f1f736256aae370d144326e72998ba9576a4875ac06f41c26,0xfc9928f6590d853752824b0b403a6ae36785e535,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,1.5770036641733558e+16,2.5167234572284434e+25,-161099,1.5770036641733558e+16,1.0090480013183519e-7,9.893851097972146e-8,9.961706832682719e-8,0.01276184882508602
0x0002e63328169d7feea121f1e32e4f620abf0352,22165707,169,2.63820897718137e+25,-160157,-2.776976731654928e+18,291735565716.0,0x587f59979daed85dfe9201bd861901f8e74985ef274834f5786642e38c3bc7ee,0x7bd7cae2d2ac926fda8fe0a7ed98e852e2b48730,0xe6b1de575e7e610889ea21024834e120f92033a3,0xc02d0fa00c0bec48186026c71da2e54ebf680139,1.5770036641733558e+16,2.4920816579064655e+25,-161296,1.5770036641733558e+16,9.893851097972146e-8,1.1088153260354338e-7,1.0505509909049234e-7,0.06182211608202337
0x0002e63328169d7feea121f1e32e4f620abf0352,22165708,34,2.66397740640247e+25,-159962,-4.5810022070359155e+17,51445323939.0,0x8568d9223ea671d2b0609014086e92bf5dddf58cb793de2f6590842181e9e2e2,0x2ecf2bc63aba5937a9c9295616926eb147d2d71e,0xfcfcfcfc0ac30164afdab927f441f2401161f358,0xfcfcfcfc0ac30164afdab927f441f2401161f358,1.5770036641733558e+16,2.63820897718137e+25,-160157,1.5770036641733558e+16,1.1088153260354338e-7,1.130581583824793e-7,1.1230146071526803e-7,0.01280581245933532
0x0002e63328169d7feea121f1e32e4f620abf0352,22165796,129,2.6366609734839596e+25,-160168,4.87367187533689e+17,-54372225024.0,0xa1058a121413ade3d0d7ff0f57a28021daa7c26012cc66dc9bb5630d4e077891,0xfc9928f6590d853752824b0b403a6ae36785e535,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,1.5770036641733558e+16,2.66397740640247e+25,-159962,1.5770036641733558e+16,1.130581583824793e-7,1.1075144839380442e-7,1.1156316308274559e-7,0.013223241216048232
0x0002e63328169d7feea121f1e32e4f620abf0352,22175297,34,2.5590630193914223e+25,-160766,1.441226128162998e+18,-154455504271.0,0x48fd3783b1fab0461afc5b35fd895b09eab3645045f049e6f3a820844e804a3b,0x1437ad00cdc0b0b080856ad08e8fa95a5e1b06e9,0x53e13979a739676402507c8550739b53171608e9,0x9cd028b1287803250b1e226f0180eb725428d069,1.5770036641733558e+16,2.6366609734839596e+25,-160168,1.5770036641733558e+16,1.1075144839380442e-7,1.0432845942735584e-7,1.0716951438277809e-7,0.03234209631543483
0x0002e63328169d7feea121f1e32e4f620abf0352,22195641,109,2.589261830084062e+25,-160531,-5.6943633530331334e+17,60290349300.0,0xd94da1612ff0ed66262f6e677766aa76b44e9ae170a8cea2b0116f6b031b1db1,0xbfab3fa9fbc422e9202558b3c51c2d1d0b2ba551,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,1.5770036641733558e+16,2.5590630193914223e+25,-160766,1.5770036641733558e+16,1.0432845942735584e-7,1.068052917947055e-7,1.0587724309493882e-7,0.014845265386683959
0x0002e63328169d7feea121f1e32e4f620abf0352,22199467,44,2.6970783227246445e+25,-159715,-1.9289810368762e+18,215250000000.0,0xcdb0d0ec242baf29b9648ae0cffa37f7a579184bb10e327186c5325f84cc1dc0,0x09ec4e32154613310a6d8382f476b8a3bf014354,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,1.5770036641733558e+16,2.589261830084062e+25,-160531,1.5770036641733558e+16,1.068052917947055e-7,1.158851932875846e-7,1.1158741111762134e-7,0.04477417965495323
0x0002e63328169d7feea121f1e32e4f620abf0352,22199467,80,2.5950032160303363e+25,-160487,1.8277025236287578e+18,-203176259766.0,0x6701860660f25b38a9c2e7b32eeaafc2b42d79e4bb78dcd8a5ca01ac6801d918,0xd7e1236c08731c3632519dcd1a581bfe6876a3b2,0x06cff7088619c7178f5e14f0b119458d08d2f5ef,0x9cd028b1287803250b1e226f0180eb725428d069,1.5770036641733558e+16,2.6970783227246445e+25,-159715,1.5770036641733558e+16,1.158851932875846e-7,1.0727947347491827e-7,1.1116484063424595e-7,0.0407330092777638
0x0002e63328169d7feea121f1e32e4f620abf0352,22213895,591,2.5788037474132194e+25,-160612,3.0336236654908717e+17,-32244369370.0,0x67eb60b8448cfa07e3945ed52a21004a234131d8b8fb72c083f448dbc4bcc806,0x3b25d8e0801df1264a3d3a5f0bb79bbc292a09fb,0xe6b1de575e7e610889ea21024834e120f92033a3,0xe6b1de575e7e610889ea21024834e120f92033a3,1.5770036641733558e+16,2.5950032160303363e+25,-160487,1.5770036641733558e+16,1.0727947347491827e-7,1.0594425656959338e-7,1.0628994537719802e-7,0.00922383439877339
0x0002e63328169d7feea121f1e32e4f620abf0352,22219605,214,2.5317304431408586e+25,-160981,9.035580420542016e+17,-93697456771.0,0x7fca49f68295c21d980fa89e500542ea56552f952dad9be0ab193c641f9792dc,0x17222617419e584d61034e1a6d7cf28e8f861f63,0x8a6df6c629cf940b0cc4a32101caa4a022e80234,0x9cd028b1287803250b1e226f0180eb725428d069,1.5770036641733558e+16,2.5788037474132194e+25,-160612,1.5770036641733558e+16,1.0594425656959338e-7,1.0211175964525548e-7,1.0369832640522211e-7,0.021199168667495938
0x0002e63328169d7feea121f1e32e4f620abf0352,22226733,462,2.4876344838970133e+25,-161332,8.774288097218157e+17,-87771175168.0,0x9c5fb93f33e3372278f7efbd646af265775d629e46569f08d6bc4e6ca933e3e3,0xe75ed6f453c602bd696ce27af11565edc9b46b0d,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0x9cd028b1287803250b1e226f0180eb725428d069,1.5770036641733558e+16,2.5317304431408586e+25,-160981,1.5770036641733558e+16,1.0211175964525548e-7,9.858571019468028e-8,1.0003224671392702e-7,0.020365068025003707
0x0002e63328169d7feea121f1e32e4f620abf0352,22233578,163,2.5544622619396426e+25,-160802,-1.3139633391848653e+18,133418170741.0,0x0185a8cca2c6b79f96d8543fb9b8a160a62a42595602e0c50e7e47678b1dc512,0x7d344a2d90efb4544df07b5c510fee99b81915d4,0x81463b0f960f247f704377661ec81c1fd65b5128,0xc02d0fa00c0bec48186026c71da2e54ebf680139,1.5770036641733558e+16,2.4876344838970133e+25,-161332,1.5770036641733558e+16,9.858571019468028e-8,1.0395366719784137e-7,1.0153873153247011e-7,0.02995384759067421
0x0002e63328169d7feea121f1e32e4f620abf0352,22240097,659,2.5054424362551912e+25,-161189,9.59853538534726e+17,-97571926785.0,0x816e37fa0b7e7f21a44aaac62ec9de6bfee57a4429d0ceae931cd1d10aa57893,0x923c549bf5362da1d15b1fde8faf95770bd24bde,0x0eae044f00b0af300500f090ea00027097d03000,0x9cd028b1287803250b1e226f0180eb725428d069,1.5770036641733558e+16,2.5544622619396426e+25,-160802,1.5770036641733558e+16,1.0395366719784137e-7,1.000022313801428e-7,1.0165293231501693e-7,0.022132310911607833
0x0002e63328169d7feea121f1e32e4f620abf0352,22255103,680,2.5258733624126774e+25,-161027,-4.0337069029007706e+17,40789277668.0,0xcdec78dbd2e7529e489d14845cdabf54e0aea130ef2b3493a5a403dbce79f3b2,0x00000000000947821264914ad2c75f871aa2d026,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,0xc02d0fa00c0bec48186026c71da2e54ebf680139,1.5770036641733558e+16,2.5054424362551912e+25,-161189,1.5770036641733558e+16,1.000022313801428e-7,1.0163984131369035e-7,1.0112107460923127e-7,0.011188182639998878
0x0002e63328169d7feea121f1e32e4f620abf0352,22264415,455,2.552533759182131e+25,-160817,-5.1664927825749606e+17,53226090593.0,0x780f4816067d17f5147310fc680ce4f5b20bb40a5c5154f9b83281d611a477dd,0x0bde59981fdeac219ce9e618d27f193438bff786,0x81463b0f960f247f704377661ec81c1fd65b5128,0xc02d0fa00c0bec48186026c71da2e54ebf680139,1.5770036641733558e+16,2.5258733624126774e+25,-161027,1.5770036641733558e+16,1.0163984131369035e-7,1.0379676587101067e-7,1.0302170705147548e-7,0.013595709319540239
0x0002e63328169d7feea121f1e32e4f620abf0352,22289622,90,2.6661053398469436e+25,-159946,-2.0851300971344325e+18,226739732850.0,0x94f50496057ab30a36af48e907985cd9bdf47224d084650fe580fe431fe81348,0x30a1b724c9dfe2e12a19ed84878312d199d1519e,0xe6b1de575e7e610889ea21024834e120f92033a3,0xe6b1de575e7e610889ea21024834e120f92033a3,1.5770036641733558e+16,2.552533759182131e+25,-160817,1.5770036641733558e+16,1.0379676587101067e-7,1.1323884784420359e-7,1.087412882110356e-7,0.04763657420857936
0x0002e63328169d7feea121f1e32e4f620abf0352,22290889,658,2.640796306489142e+25,-160137,4.504851481054679e+17,-50376579584.0,0x039b4bef001cd4aa0f22ed1fd6d4ea8a9687417268040967834f8637742ad3dc,0x7d344a2d90efb4544df07b5c510fee99b81915d4,0x81463b0f960f247f704377661ec81c1fd65b5128,0x9cd028b1287803250b1e226f0180eb725428d069,1.5770036641733558e+16,2.6661053398469436e+25,-159946,1.5770036641733558e+16,1.1323884784420359e-7,1.1109912546187362e-7,1.1182739274726499e-7,0.012464407081220985
0x0002e63328169d7feea121f1e32e4f620abf0352,22328254,126,2.666524051470092e+25,-159943,-4.564924501862646e+17,51364099977.0,0xd0e675e30653623fb55e0331d35b7e8fb6c7cda618c04ffe414aff5e2445427a,0xfc9928f6590d853752824b0b403a6ae36785e535,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0xc02d0fa00c0bec48186026c71da2e54ebf680139,1.5770036641733558e+16,2.640796306489142e+25,-160137,1.5770036641733558e+16,1.1109912546187362e-7,1.1327441894058234e-7,1.1251905690015615e-7,0.012780761616074221
